Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
297,Ips amitinus,1696,Microsporidia,Microsporidium sp.,Austria,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
298,Ips amitinus,1696,Microsporidia,Chytridiopsis cf. typographi,Austria,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
303,Ips amitinus,1696,Microsporidia,Nosema cf. typographi,Czech Republic,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
304,Ips amitinus,1696,Microsporidia,Chytridiopsis cf. typographi,Czech Republic,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
306,Ips amitinus,1696,Microsporidia,Chytridiopsis cf. typographi,Finland,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
308,Orthotomicus erosus,1708,Microsporidia,Chytridiopsis sp.,Hungary,pathogen,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
311,Orthotomicus erosus,1708,Microsporidia,Chytridiopsis sp.,Austria,pathogen,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
320,Orthotomicus laricis,1736,Microsporidia,Chytridiopsis sp.,Austria,pathogen,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
368,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Georgia,,,,,,,"Kereselidze et al., 2010",2010,full text,"Kereselidze, M., Wegensteiner, R., Goginashvili, N., Tvaradze, M., & Pilarska, D. (2010). Further studies on the occurrence of natural enemies of Ips typographus (Coleoptera: Curculionidae: Scolytinae) in Georgia. Acta zool. bulg, 62(2), 131-139."
414,Dendroctonus frontalis,479,Microsporidia,Unikaryon minutum,United States,parasite,,,malpighian tubules; fat body; midgut,,,"Knell and Allen, 1978",1978,full text,"Knell J.D. & G.E. Allen 1978. Morphology and Ultrastructure of Unikaryon minutum sp.n. (Microsporidia: Protozoa), a Parasite of the Southern Pine Beetle, Dendroctonus frontalis. Acta Protozoologica 17, 271-78."
417,Tomicus piniperda,521,Microsporidia,Canningia tomici,,,,,midgut epithelium; malpighian tubules; gut muscules; gonads,,,"Kohlmayr et al., 2003",2003,full text,"Kohlmayr B., J. Weiser, R. Wegensteiner, U. Händel & Z. Zizka 2003. Infection of Tomicus piniperda (Col., Scolytidae) with Canningia tomici sp.n. (Microsporidia, Unikaryonidae). Journal of Pest Science 76, 65-73."
475,Scolytus ensifer,5697,Microsporidia,Stempellia scolyti,Germany,,laboratory,morphological,hemocoel; midgut,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
476,Scolytus multistriatus,1147,Microsporidia,Stempellia scolyti,Germany,,laboratory,morphological,hemocoel; midgut,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
477,Scolytus pygmaeus,1165,Microsporidia,Stempellia scolyti,Germany,,laboratory,morphological,hemocoel; midgut,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
478,Scolytus scolytus,1172,Microsporidia,Stempellia scolyti,Germany,,laboratory,morphological,hemocoel; midgut,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
479,Scolytus ensifer,5697,Microsporidia,Nosema scolyti,Germany,,laboratory,morphological,midgut; malpighian tubules; hemocoel,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
480,Scolytus multistriatus,1147,Microsporidia,Nosema scolyti,Germany,,laboratory,morphological,midgut; malpighian tubules; hemocoel,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
481,Scolytus pygmaeus,1165,Microsporidia,Nosema scolyti,Germany,,laboratory,morphological,midgut; malpighian tubules; hemocoel,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
482,Scolytus scolytus,1172,Microsporidia,Nosema scolyti,Germany,,laboratory,morphological,midgut; malpighian tubules; hemocoel,,pathogenicity test,"Lipa, 1968",1968,,"Lipa J.J. 1968. Stempellia scolyti Weiser com.nov. and Nosema scolyti n.sp. microsporidian parasites of four species of Scolytus (Coleoptera). Acta Protozoologica 6, 69-78."
488,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
489,Ips typographus,1733,Microsporidia,Nosema typographi,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
