Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
649,Dendroctonus micans,3927,Bacteria,Bacillus thuringiensis,Turkey,,laboratory,morphological,,four soil-originated Bacillus spp.,infection test,"Odabas Alver et al., 2018",2018,full text,"Odabas Alver, D., & Ertürk, Ö. (2018). Effects of four soil-originated Bacillus spp. on the great spruce bark beetle, Dendroctonus micans (Kugelann)(Coleoptera: Curculionidae, Scolytinae). Egyptian Journal of Biological Pest Control, 28(1), 70."
666,Scolytus multistriatus,1147,Bacteria,bacteria,Europe,,,,,,,Pesson et al. 1955,1955,non full-text ,"Pesson P., C. Toumonoff & C. Chararas 1955. Étude des epizooties bactériennes observées dans les élevages d’insectes xylophages. Annales Épiphyties 6, 315-28."
852,Hylurgopinus rufipes,501,Bacteria,Rod-like bacteria,Canada,,,,,unsuccessful culture,,Tomalak et al. 1988,1988,full text,"Tomalak M., H.E. Welch & T.D. Galloway 1988. Interaction of Parasitic Nematode Parasitaphelenchus oldhami (Nematoda: Aphelenchoididae) and a Bacterium in Dutch Elm Disease Vector, Hylurgopinus rufipes (Coleoptera: Scolytidae). Journal of Invertebrate Pathology 52, 301-08."
970,Ips confusus,1706,Bacteria,Serratia marcescens,,,,,,,,Wood 1961,1961,only English abstract,"Wood, D. L. (1961). The occurrence of Serratia marcescens Bizio in laboratory populations of Ips confusus (Leconte)(Coleoptera, Scolytidae)."
984,Dendroctonus micans,3927,Bacteria,Bacillus pumilus,Turkey,,,,,isolated from beetle,pathogenicity test,"Yaman et al., 2010a",2010,full text,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
985,Dendroctonus micans,3927,Bacteria,Enterobacter intermedius,Turkey,,,,,isolated from beetle,pathogenicity test,"Yaman et al., 2010a",2010,full text,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
986,Dendroctonus micans,3927,Bacteria,Citrobacter freundii,Turkey,,,,,isolated from beetle,pathogenicity test,"Yaman et al., 2010a",2010,full text,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
987,Dendroctonus micans,3927,Bacteria,Cellulomonas flavigena,Turkey,,,,,isolated from beetle,pathogenicity test,"Yaman et al., 2010a",2010,full text,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
988,Dendroctonus micans,3927,Bacteria,Microbacterium liquefaciens,Turkey,,,,,isolated from beetle,pathogenicity test,"Yaman et al., 2010a",2010,full text,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
989,Dendroctonus micans,3927,Bacteria,Enterobacter amnigenus,Turkey,,,,,isolated from beetle,pathogenicity test,"Yaman et al., 2010a",2010,full text,"Yaman, M., Ertürk, Ö. & Aslan, İ. (2010) Isolation of some pathogenic bacteria from the great spruce bark beetle, Dendroctonus micans and its specific predator, Rhizophagus grandis . Folia Microbiol 55, 35–38"
