Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
658,Pityokteines spinidens,1754,Protist,Gregarina sp.,Croatia,pathogen; occurrence survey,,,midgut lumen,isolated from beetle,,"Pernek et al., 2009",2009,full text,"Pernek, M., Matošević, D., Hrašovec, B., Kučinić, M., & Wegensteiner, R. (2009). Occurrence of pathogens in outbreak populations of Pityokteines spp.(Coleoptera, Curculionidae, Scolytinae) in silver fir forests. Journal of Pest Science, 82(4), 343-349."
661,Pityokteines spinidens,1754,Protist,Menzbieria sp.,Croatia,pathogen; occurrence survey,,,midgut epithelium,isolated from beetle,,"Pernek et al., 2009",2009,full text,"Pernek, M., Matošević, D., Hrašovec, B., Kučinić, M., & Wegensteiner, R. (2009). Occurrence of pathogens in outbreak populations of Pityokteines spp.(Coleoptera, Curculionidae, Scolytinae) in silver fir forests. Journal of Pest Science, 82(4), 343-349."
663,Pityokteines vorontzowi,1755,Protist,Gregarina sp.,Croatia,pathogen; occurrence survey,,,midgut lumen,isolated from beetle,,"Pernek et al., 2009",2009,full text,"Pernek, M., Matošević, D., Hrašovec, B., Kučinić, M., & Wegensteiner, R. (2009). Occurrence of pathogens in outbreak populations of Pityokteines spp.(Coleoptera, Curculionidae, Scolytinae) in silver fir forests. Journal of Pest Science, 82(4), 343-349."
669,Ips typographus,1733,Protist,Gregarina typographi,Bulgaria,,,,,,,"Pilarska et al., 2018",2018,full text,"Pilarska, D., Georgiev, G., Dobreva, M., Takov, D., Mirchev, P., Doychev, D., ... & Hajek, A. E. (2018). Pathogens and parasitoids of forest pest insects in the region of Forest Protection Station Plovdiv during the period 1990–2017. Silva, 19, 3."
670,Ips sexdentatus,1728,Protist,Gregarina typographi,Bulgaria,,,,,,,"Pilarska et al., 2018",2018,full text,"Pilarska, D., Georgiev, G., Dobreva, M., Takov, D., Mirchev, P., Doychev, D., ... & Hajek, A. E. (2018). Pathogens and parasitoids of forest pest insects in the region of Forest Protection Station Plovdiv during the period 1990–2017. Silva, 19, 3."
671,Ips acuminatus,1695,Protist,Gregarina typographi,Bulgaria,,,,,,,"Pilarska et al., 2018",2018,full text,"Pilarska, D., Georgiev, G., Dobreva, M., Takov, D., Mirchev, P., Doychev, D., ... & Hajek, A. E. (2018). Pathogens and parasitoids of forest pest insects in the region of Forest Protection Station Plovdiv during the period 1990–2017. Silva, 19, 3."
679,Pityogenes chalcographus,1739,Protist,Malamoeba scolyti,,,,,,,pathogenicity test,"Purrini and Führer, 1979",1979,only English abstract,"Purrini K. & E. Führer 1979. Experimentelle Infektion von Pityogenes chalcographus L. (Col.: Scolytidae) durch Malamoeba scolyti Purrini (Amoebina, Amoebidae) und Menzbieria chalcographi Weiser (Neogregarina, Ophryocystidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 52, 167-73."
680,Pityogenes chalcographus,1739,Protist,Menzbieria chalcographi,,,,,,,pathogenicity test,"Purrini and Führer, 1979",1979,only English abstract,"Purrini K. & E. Führer 1979. Experimentelle Infektion von Pityogenes chalcographus L. (Col.: Scolytidae) durch Malamoeba scolyti Purrini (Amoebina, Amoebidae) und Menzbieria chalcographi Weiser (Neogregarina, Ophryocystidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 52, 167-73."
682,Hylesinus varius,445,Protist,Ophryocystis hylesini,Germany,parasite,,,,,,"Purrini and Ormieres, 1981",1981,full text,"Purrini K. & R. Ormieres 1981. On three new sporozoan parasites of bark beetles (Scolytidae, Coleoptera). Zeitschrift für angewandte Entomologie 91, 67-74."
687,Dryocoetes autographus,1837,Protist,Malamoeba scolyti,Germany,parasite,,,,,,"Purrini and Zizka, 1983",1983,full text,"Purrini K. & Z. Zizka 1983. More on the life cycle of Malamoeba scolyti (Amoebidae: Sarcomastigophora) parasitizing the bark beetle Dryocoetes autographus (Scolytidae, Coleoptera). Journal of Invertebrate Pathology 42, 96-105."
688,Hylurgops palliatus,409,Protist,Malamoeba scolyti,Germany,parasite,,,,,,"Purrini and Zizka, 1983",1983,full text,"Purrini K. & Z. Zizka 1983. More on the life cycle of Malamoeba scolyti (Amoebidae: Sarcomastigophora) parasitizing the bark beetle Dryocoetes autographus (Scolytidae, Coleoptera). Journal of Invertebrate Pathology 42, 96-105."
690,Dryocoetes autographus,1837,Protist,Mattesia sp.,Germany,pathogen,,,,,,"Purrini, 1977",1977,full text,"Purrini K. 1977. Über eine neue Schizogregarinen-Krankheit der Gattung Mattesia Naville (Sporozoa, Dischizae) des Zottigen Fichtenborkenkäfers, Dryocoetes autographus Ratz (Coleoptera, Scolytidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 50, 132-35."
691,Dryocoetes autographus,1837,Protist,Malamoeba cf. locustae,Germany,pathogen,,,,,,"Purrini, 1978a",1978,full text,"Purrini K. 1978. Über Malamoeba locustae King and Taylor (Protozoa, Rhizopoda, Amoebidae) beim Zottigen Fichtenborkenkäfer, Dryocoetes autographus Ratz (Col.: Scolytidae). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 139-41."
692,Ips typographus,1733,Protist,Gregarina typographi,Germany,,,morphological,,,,"Purrini, 1978b",1978,full text,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
693,Dryocoetes autographus,1837,Protist,Menzbieria cf. chalcographi,Germany,,,morphological,,,,"Purrini, 1978b",1978,full text,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
694,Dryocoetes autographus,1837,Protist,Mattesia schwenkei,Germany,,,morphological,,,,"Purrini, 1978b",1978,full text,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
695,Dryocoetes autographus,1837,Protist,Malamoeba cf. locustae,Germany,,,morphological,,,,"Purrini, 1978b",1978,full text,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
697,Hylurgops glabratus,5192,Protist,Menzbieria cf. chalcographi,Germany,,,morphological,,,,"Purrini, 1978b",1978,full text,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
698,Hylurgops glabratus,5192,Protist,Mattesia schwenkei,Germany,,,morphological,,,,"Purrini, 1978b",1978,full text,"Purrini K. 1978. Protozoen als Krankheitserreger bei einigen Borkenkäferarten (Col., Scolytidae) im Königsee-Gebiet, Oberbayern. Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 51, 171-75."
699,Dryocoetes autographus,1837,Protist,Malamoeba scolyti,Germany,parasite,,,,,,"Purrini, 1980",1980,full text,"Purrini, K. (1980). Malamoeba scolyti sp. n.(Amoebidae, Rhizopoda, Protozoa) parasitizing the bark beetles, Dryocoetes autographus Ratz., and Hylurgops palliatus Gyll.(Scolytidae, Coleoptera). Archiv für Protistenkunde, 123(3), 358-366."
700,Hylurgops palliatus,409,Protist,Malamoeba scolyti,Germany,parasite,,,,,,"Purrini, 1980",1980,full text,"Purrini, K. (1980). Malamoeba scolyti sp. n.(Amoebidae, Rhizopoda, Protozoa) parasitizing the bark beetles, Dryocoetes autographus Ratz., and Hylurgops palliatus Gyll.(Scolytidae, Coleoptera). Archiv für Protistenkunde, 123(3), 358-366."
746,Ips sexdentatus,1728,Protist,Gregarina typographi,Bulgaria,association report,,,,,,"Takov and Pilarska, 2008",2008,full text,"Takov, D., & Pilarska, D. (2008). Prevalence of Gregarina typographi Fuchs (Apicomplexa: Gregarinidae) and nematodes (Nematoda) in bark beetles (Coleoptera: Scolytinae) from Bulgaria depending on the host gender. Acta zoologica bulgarica, 60(3), 227-232."
747,Ips acuminatus,1695,Protist,Gregarina typographi,Bulgaria,association report,,,,,,"Takov and Pilarska, 2008",2008,full text,"Takov, D., & Pilarska, D. (2008). Prevalence of Gregarina typographi Fuchs (Apicomplexa: Gregarinidae) and nematodes (Nematoda) in bark beetles (Coleoptera: Scolytinae) from Bulgaria depending on the host gender. Acta zoologica bulgarica, 60(3), 227-232."
749,Ips typographus,1733,Protist,Gregarina typographi,Bulgaria,,,,,,,"Takov and Pilarska, 2009",2009,full text,"Takov, D., & Pilarska, D. (2009). Single and mixed infections in Ips typographus (Coleoptera: Scolytinae) caused by the entomopathogens Entomopoxvirus typographi (Virales), Gregarina typographi (Sporozoa) and Chytridiopsis typographi (Microsporidia). Acta Zool Bulg, 61(1), 45-48."
752,Ips typographus,1733,Protist,Gregarina typographi,Bulgaria,pathogen,,morphological,,isolated from beetle,,"Takov et al., 2006",2006,full text,"Takov, D., Pilarska, D., & Wegensteiner, R. (2006). Entomopathogens in Ips typographus (Coleoptera: Scolytidae) from several spruce stands in Bulgaria. Acta zoologica bulgarica, 58(3), 409-420."
760,Ips typographus,1733,Protist,Gregarina typographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
761,Ips sexdentatus,1728,Protist,Gregarina typographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
762,Ips acuminatus,1695,Protist,Gregarina cf. typographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
764,Pityogenes chalcographus,1739,Protist,Gregarina cf. typographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
765,Pityogenes chalcographus,1739,Protist,Menzbieria chalcographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
766,Orthotomicus proximus,5944,Protist,Gregarina cf. typographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
768,Pityophthorus pityographus,2755,Protist,Malamoeba scolyti,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
769,Polygraphus subopacus,8959,Protist,Gregarina cf. typographi,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
773,Ips sexdentatus,1728,Protist,Gregarina typographi,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
774,Ips typographus,1733,Protist,Gregarina typographi,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
775,Taphrorychus villifrons,6268,Protist,Gregarina sp.,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
776,Pityogenes conjunctus,5951,Protist,Gregarina sp.,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
777,Pityogenes chalcographus,1739,Protist,Gregarina sp.,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
778,Pityogenes bistridentatus,5949,Protist,Gregarina sp.,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
779,Orthotomicus proximus,5944,Protist,Gregarina sp.,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
780,Orthotomicus erosus,1708,Protist,Gregarina sp.,Bulgaria,pathogen,,,,,,"Takov et al., 2011",2011,full text,"Takov, D., Doychev, D., Linde, A., Draganova, S., Pilarska, D., 2011. Pathogens of bark beetles (Coleoptera: Curculionidae) in Bulgarian forests. Phytoparasitica 39, 343–352."
810,Ips typographus,1733,Protist,Gregarina typographi,Bulgaria,,,morphological,,,,"Takov et al., 2012",2012,full text,"Takov, D. I., Doychev, D. D., Linde, A., Atanasova Draganova, S., & Kirilova Pilarska, D. (2012). Pathogens of bark beetles (Curculionidae: Scolytinae) and other beetles in Bulgaria. Biologia, 67(5), 966-972."
811,Ips sexdentatus,1728,Protist,Gregarina typographi,Bulgaria,,,morphological,,,,"Takov et al., 2012",2012,full text,"Takov, D. I., Doychev, D. D., Linde, A., Atanasova Draganova, S., & Kirilova Pilarska, D. (2012). Pathogens of bark beetles (Curculionidae: Scolytinae) and other beetles in Bulgaria. Biologia, 67(5), 966-972."
812,Orthotomicus longicollis,5940,Protist,Gregarina spp.,Bulgaria,,,morphological,,,,"Takov et al., 2012",2012,full text,"Takov, D. I., Doychev, D. D., Linde, A., Atanasova Draganova, S., & Kirilova Pilarska, D. (2012). Pathogens of bark beetles (Curculionidae: Scolytinae) and other beetles in Bulgaria. Biologia, 67(5), 966-972."
813,Ips amitinus,1696,Protist,Gregarina spp.,Bulgaria,,,morphological,,,,"Takov et al., 2012",2012,full text,"Takov, D. I., Doychev, D. D., Linde, A., Atanasova Draganova, S., & Kirilova Pilarska, D. (2012). Pathogens of bark beetles (Curculionidae: Scolytinae) and other beetles in Bulgaria. Biologia, 67(5), 966-972."
856,Ips typographus,1733,Protist,Gregarina typographi,,,,,,isolated from infected beetle,infection test,Tonka et al. 2007,2007,full text,"Tonka, T., Pultar, O., & Weiser, J. (2007). Survival of the spruce bark beetle, Ips typographus, infected with pathogens or parasites. IOBC WPRS BULLETIN, 30(1), 211-215."
861,Ips sexdentatus,1728,Protist,Gregarina typographi,Turkey,association report,,,,,,"Unal et al., 2009",2009,only English abstract,"Unal, S., Yaman, M., Tosun, O., & Aydin, C. (2009). Occurrence of Gregarina typographi (Apicomplexa, Gregarinidae) and Metschnikowia typographi (Ascomycota, Metschnikowiaceae) in Ips sexdentatus (Coleoptera: Curculionidae, Scolytinae) populations in Kastamonu (Turkey)."
869,Ips typographus,1733,Protist,Gregarina typographi,Germany,,,,,,,"Wegensteiner and Weiser, 1996a",1996,full text,"Wegensteiner R. & J. Weiser 1996a. Untersuchungen zum Auftreten von Pathogenen bei Ips typographus (Coleoptera, Scolytidae) aus einem Naturschutzgebiet im Schwarzwald (Baden-Württemberg). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 69, 162-67."
875,Ips typographus,1733,Protist,Gregarina typographi,Austria,,,morphological,,evaluation of pathogen from beetles,,"Wegensteiner and Weiser, 2004",2004,full text,"Wegensteiner, R., Weiser, J., 2004. Annual variation of pathogen occurrence and pathogen prevalence in Ips typographus (Coleoptera, Scolytidae) from the BOKU University Forest Demonstration Centre. J. Pest Sci. 77, 221–228."
877,Ips typographus,1733,Protist,Menzbieria chalcographi,Austria,,,morphological,,evaluation of pathogen from beetles,,"Wegensteiner and Weiser, 2004",2004,full text,"Wegensteiner, R., Weiser, J., 2004. Annual variation of pathogen occurrence and pathogen prevalence in Ips typographus (Coleoptera, Scolytidae) from the BOKU University Forest Demonstration Centre. J. Pest Sci. 77, 221–228."
880,Ips typographus,1733,Protist,Malamoeba scolyti,,,,,,evaluation of pathogen from beetles,,"Wegensteiner et al., 1996",1996,full text,"Wegensteiner R., J. Weiser & E. Führer 1996. Observations on the occurrence of pathogens in the bark beetle Ips typographus L. (Coleoptera, Scolytidae). Journal of Applied Entomology 120, 199-204."
884,Ips typographus,1733,Protist,Gregarina typographi,Austria,,,,,evaluation of pathogen from beetles,,"Wegensteiner et al., 1996",1996,full text,"Wegensteiner R., J. Weiser & E. Führer 1996. Observations on the occurrence of pathogens in the bark beetle Ips typographus L. (Coleoptera, Scolytidae). Journal of Applied Entomology 120, 199-204."
885,Ips typographus,1733,Protist,Gregarina typographi,Czech Republic,,,,,evaluation of pathogen from beetles,,"Wegensteiner et al., 1996",1996,full text,"Wegensteiner R., J. Weiser & E. Führer 1996. Observations on the occurrence of pathogens in the bark beetle Ips typographus L. (Coleoptera, Scolytidae). Journal of Applied Entomology 120, 199-204."
886,Ips typographus,1733,Protist,Gregarina typographi,Austria,,,,,evaluation of pathogen from beetles,,"Wegensteiner et al., 2007a",2007,full text,"Wegensteiner,R., Pernek,M.,Weiser, J., 2007a. Occurrence of Gregarina typographi (Sporozoa, Gregarinidae) and of Metschnikowia typographi (Ascomycota, Metschnikowiaceae) in Ips sexdentatus (Coleoptera, Scolytidae) from Austria. IOBC/wprsBull. 30, 217–220."
888,Ips typographus,1733,Protist,Gregarina typographi,Switzerland,,,,,,,"Wegensteiner et al., 2007b",2007,full text,"Wegensteiner, R., Epper, C., Wermelinger, B., 2007b. Untersuchungen über das Auftreten und die Dynamik von Pathogenen bei Ips typographus (Coleoptera, Scolytinae) in Befallsherden unter besonderer Berücksichtigung von Protozoen. Mitt. Schweiz. Entomol. Ges. 80, 79–90."
890,Ips typographus,1733,Protist,Gregarina typographi,Austria,pathogen; occurrence survey,,,,,,"Wegensteiner et al., 2010",2010,full text,"Wegensteiner, R., Dedryver, C.-A., Pierre, J.-S., 2010. The comparative prevalence and demographic impact of two pathogens in swarming Ips typographus adults: a quantitative analysis of long term trapping data. Agric. For. Entomol. 12, 49–57."
