Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
379,Pityogenes scitus,5959,Fungi,Lecanicillium lecanii,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Mazur, S. (2018). Laboratory evaluation of entomopathogenic fungi as biological control agents against the bark beetle Pityogenes scitus Blandford (Coleoptera: Curculionidae) in Kashmir. Folia Forestalia Polonica. Series A. Forestry, 60(2)."
380,Pityogenes scitus,5959,Fungi,Metarhizium anisopliae,India,pathogen,laboratory,,cuticular contact,commercial strain,virulence test,"Khanday et al., 2018",2018,full text,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Mazur, S. (2018). Laboratory evaluation of entomopathogenic fungi as biological control agents against the bark beetle Pityogenes scitus Blandford (Coleoptera: Curculionidae) in Kashmir. Folia Forestalia Polonica. Series A. Forestry, 60(2)."
385,Crypturgus pusillus,1868,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
386,Dryocoetes autographus,1837,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
387,Hylurgops palliatus,409,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
388,Ips typographus,1733,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
389,Orthotomicus laricis,1736,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
390,Pityogenes chalcographus,1739,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
391,Polygraphus poligraphus,3365,Fungi,Beauveria caledonica,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
392,Cryphalus piceae,2218,Fungi,Beauveria bassiana,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
393,Crypturgus cinereus,6387,Fungi,Beauveria bassiana,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
394,Crypturgus pusillus,1868,Fungi,Beauveria bassiana,Europe,pathogen,,,,detected from beetle,,"Kirschner, 2001",2001,,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
