Record Block ID,Records ID,Beetle Host,Beetle Host IDs,pathogens,categories,organism source,infection site,ecological relationship,identification method,validation type,experimental conditions,country or region,year,source,title,doi or full text,full text
3cd970ea-0cac-817b-b9f6-cccc5718d17e,44,Scolytus ratzeburgi,3cd970ea-0cac-81a2-9878-da1338425f66,Lecanicillium lecanii,Fungi,,,pathogen,,,,Poland,1963,"Balazy, 1963","Bałazy, S., 1963. The fungus Cephalosporium (Acrostalagmus) lecanii Zimm., a pathogen of beetle larvae. Acta Societatis Botanicorum Poloniae 32, 69–80.",https://www.cabidigitallibrary.org/doi/full/10.5555/19630601004,only English abstract
3cd970ea-0cac-81bf-81c5-cf62301705f1,45,Scolytus multistriatus,3cd970ea-0cac-81d9-bda0-ca455fdf65b6,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-819c-9991-ea01c0ba1834,46,Scolytus ratzeburgi,3cd970ea-0cac-81a2-9878-da1338425f66,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-8103-8eec-d2e577a7c294,47,Scolytus scolytus,3cd970ea-0cac-818b-a96b-ee29650d93b8,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-8102-a1d9-cb23ce1426e1,48,Scolytus laevis,3cd970ea-0cac-8119-a403-c6e226165996,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-812b-b45c-c46618f3fc75,49,Polygraphus poligraphus,3cd970ea-0cac-8198-96bc-d4687d039075,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-8177-aaae-fa2ba3d5c651,50,Hylurgops palliatus,3cd970ea-0cac-816f-b74a-dc5ef373dcda,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-816a-98cd-e7ddf84ac12a,51,Hylastes opacus,3cd970ea-0cac-8157-8634-c2f4a969b71c,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-814f-82fb-c8262dbe582c,52,Dryocoetes autographus,3cd970ea-0cac-81b6-87c6-e583eea30425,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-81a3-bc81-db075e782a07,53,Leperesinus fraxini,3cd970ea-0cac-81e8-b348-cc3ce20b5b95,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-8136-b3c9-c00a88d0ca6a,54,Ips amitinus,3cd970ea-0cac-815a-a757-ffcc6a0735b5,Beauveria bassiana,Fungi,,,,,,,Poland,1965,"Balazy, 1965","Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30.",,
3cd970ea-0cac-810d-a2b3-f3a6410fe720,55,Scolytus multistriatus,3cd970ea-0cac-81d9-bda0-ca455fdf65b6,Beauveria bassiana,Fungi,,,,,,,Poland,1966,"Balazy, 1966","Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50.",,
3cd970ea-0cac-81ef-ab60-ec6cbca415e4,56,Scolytus ratzeburgi,3cd970ea-0cac-81a2-9878-da1338425f66,Beauveria bassiana,Fungi,,,,,,,Poland,1966,"Balazy, 1966","Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50.",,
3cd970ea-0cac-8187-9973-d0d8bd69b4db,57,Scolytus scolytus,3cd970ea-0cac-818b-a96b-ee29650d93b8,Beauveria bassiana,Fungi,,,,,,,Poland,1966,"Balazy, 1966","Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50.",,
3cd970ea-0cac-816f-8b04-d856bfaa4f0c,58,Scolytus laevis,3cd970ea-0cac-8119-a403-c6e226165996,Beauveria bassiana,Fungi,,,,,,,Poland,1966,"Balazy, 1966","Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50.",,
3cd970ea-0cac-8194-b5c5-eb2f4d273684,59,Polygraphus poligraphus,3cd970ea-0cac-8198-96bc-d4687d039075,Beauveria bassiana,Fungi,,,,,,,Poland,1966,"Balazy, 1966","Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50.",,
